id,parent,region
567,19,НОВА ВОДОЛАГА
568,19,ПЕЧЕНІГИ
569,19,САХНОВЩИНА
570,19,МЕРЕФА
571,19,ПІВДЕННЕ
572,19,ШЕВЧЕНКОВЕ
573,20,ХЕРСОН
574,20,ГОЛА ПРИСТАНЬ
575,20,КАХОВКА
576,20,НОВА КАХОВКА
577,20,ТАВРІЙСЬК
578,20,БІЛОЗЕРКА
579,20,БЕРИСЛАВ
580,20,ВЕЛИКА ОЛЕКСАНДРІВКА
581,20,ВЕЛИКА ЛЕПЕТИХА
582,20,ВЕРХНІЙ РОГАЧИК
583,20,ВИСОКОПІЛЛЯ
584,20,ГЕНІЧЕСЬК
585,20,ГОРНОСТАЇВКА
586,20,КАЛАНЧАК
587,20,НИЖНІ СІРОГОЗИ
588,20,НОВОВОРОНЦОВКА
589,20,НОВОТРОЇЦЬКЕ
590,20,СКАДОВСЬК
591,20,ОЛЕШКИ
592,20,ЧАПЛИНКА
593,21,ХМЕЛЬНИЦЬКИЙ
594,21,КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ
595,21,НЕТІШИН
596,21,СЛАВУТА
597,21,ШЕПЕТІВКА
598,21,СТАРОКОСТЯНТИНІВ
599,21,БІЛОГІР'Я
600,21,ВІНЬКІВЦІ
601,21,ВОЛОЧИСЬК
602,21,ДЕРАЖНЯ
603,21,ДУНАЇВЦІ
604,21,ІЗЯСЛАВ
605,21,КРАСИЛІВ
606,21,ЛЕТИЧІВ
607,21,НОВА УШИЦЯ
608,21,ПОЛОННЕ
609,21,СТАРА СИНЯВА
610,21,ТЕОФІПОЛЬ
611,21,ЧЕМЕРІВЦІ
612,21,ЯРМОЛИНЦІ
613,22,ЧЕРКАСИ
614,22,ВАТУТІНЕ
615,22,КАНІВ
616,22,ЗОЛОТОНОША
617,22,СМІЛА
618,22,УМАНЬ
619,22,ГОРОДИЩЕ
620,22,ДРАБІВ
621,22,ЖАШКІВ
622,22,ЗВЕНИГОРОДКА
623,22,КАМ'ЯНКА
624,22,КАТЕРИНОПІЛЬ
625,22,КОРСУНЬ-ШЕВЧЕНКІВСЬКИЙ
626,22,ЛИСЯНКА
627,22,МАНЬКІВКА
